iter	Passed	Remaining
0	0	567
1	1	557
2	1	550
3	2	535
4	2	527
5	3	523
6	3	519
7	4	529
8	4	524
9	5	520
10	5	517
11	6	515
12	6	514
13	7	513
14	7	511
15	8	508
16	8	506
17	9	505
18	9	502
19	10	500
20	10	498
21	11	496
22	11	496
23	12	493
24	12	493
25	13	492
26	13	491
27	14	490
28	14	488
29	15	488
30	15	487
31	16	487
32	16	486
33	17	486
34	17	485
35	18	484
36	18	483
37	19	483
38	19	482
39	20	482
40	20	481
41	21	482
42	21	483
43	22	483
44	22	483
45	23	483
46	23	483
47	24	483
48	24	483
49	25	482
50	25	482
51	26	480
52	26	479
53	27	478
54	27	477
55	28	477
56	28	476
57	29	475
58	29	475
59	30	474
60	30	474
61	31	473
62	31	472
63	32	472
64	32	471
65	33	470
66	33	469
67	34	468
68	34	468
69	35	467
70	35	466
71	36	465
72	36	465
73	37	467
74	37	467
75	38	467
76	39	468
77	39	467
78	40	466
79	40	466
80	41	465
81	41	464
82	41	463
83	42	462
84	42	461
85	43	461
86	43	461
87	44	460
88	44	460
89	45	459
90	45	458
91	46	458
92	46	457
93	47	456
94	47	456
95	48	455
96	48	455
97	49	454
98	49	454
99	50	453
100	50	453
101	51	452
102	52	454
103	52	454
104	53	454
105	53	455
106	54	455
107	55	454
108	55	454
109	56	454
110	56	455
111	57	454
112	57	454
113	58	454
114	58	453
115	59	453
116	59	452
117	60	452
118	61	451
119	61	451
120	62	451
121	62	450
122	63	450
123	63	449
124	64	448
125	64	448
126	65	447
127	65	447
128	66	446
129	66	445
130	67	445
131	67	444
132	68	444
133	68	445
134	69	444
135	69	444
136	70	443
137	70	443
138	71	442
139	71	442
140	72	441
141	73	441
142	73	440
143	73	439
144	74	439
145	74	438
146	75	437
147	75	436
148	76	435
149	76	435
150	77	434
151	77	434
152	78	433
153	78	432
154	79	432
155	79	431
156	80	430
157	80	430
158	81	429
159	81	428
160	82	428
161	82	427
162	83	426
163	83	426
164	84	426
165	84	426
166	85	425
167	85	425
168	86	424
169	86	424
170	87	423
171	87	422
172	88	422
173	88	421
174	89	420
175	89	420
176	90	419
177	90	418
178	91	418
179	91	417
180	92	417
181	92	416
182	93	416
183	93	415
184	94	414
185	94	414
186	95	413
187	95	413
188	96	412
189	96	412
190	97	411
191	97	410
192	98	410
193	98	410
194	99	409
195	99	409
196	100	408
197	100	408
198	101	407
199	101	407
200	102	407
201	103	407
202	103	406
203	104	406
204	104	405
205	105	404
206	105	404
207	106	403
208	106	403
209	106	402
210	107	401
211	107	401
212	108	400
213	108	399
214	109	399
215	109	398
216	110	397
217	110	397
218	111	396
219	111	396
220	112	395
221	112	395
222	113	394
223	113	394
224	114	394
225	115	394
226	115	394
227	116	394
228	117	394
229	117	393
230	118	393
231	118	392
232	119	392
233	119	391
234	120	390
235	120	390
236	121	390
237	122	390
238	122	390
239	123	389
240	123	389
241	124	388
242	124	388
243	125	388
244	126	388
245	126	388
246	127	387
247	127	387
248	128	387
249	128	386
250	129	386
251	130	387
252	131	387
253	131	387
254	132	386
255	132	386
256	133	385
257	134	385
258	134	385
259	135	384
260	135	384
261	136	383
262	136	383
263	137	382
264	137	382
265	138	381
266	138	381
267	139	381
268	140	380
269	141	381
